PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;04;11;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;04;11;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;00000;N
28;079;8;7;28079008_7_8;2020;04;11;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;04;11;00009;V;00008;V;00008;V;00008;V;00009;V;00009;V;00012;V;00014;V;00016;V;00017;V;00015;V;00015;V;00013;V;00011;V;00010;V;00008;V;00007;V;00007;V;00007;V;00007;V;00009;V;00012;V;00018;V;00000;N
28;079;8;9;28079008_9_47;2020;04;11;00001;V;00006;V;00011;V;00006;V;00010;V;00004;V;00006;V;00005;V;00002;V;00008;V;00001;V;00001;V;00013;V;00018;V;00014;V;00004;V;00008;V;00014;V;00007;V;00003;V;00008;V;00003;V;00015;V;00000;N
28;079;8;10;28079008_10_47;2020;04;11;00002;V;00010;V;00015;V;00010;V;00014;V;00008;V;00009;V;00009;V;00005;V;00013;V;00002;V;00002;V;00018;V;00022;V;00016;V;00008;V;00010;V;00017;V;00010;V;00004;V;00009;V;00004;V;00018;V;00000;N
28;079;8;12;28079008_12_8;2020;04;11;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00013;V;00015;V;00018;V;00020;V;00017;V;00017;V;00014;V;00012;V;00011;V;00010;V;00009;V;00009;V;00009;V;00009;V;00010;V;00013;V;00019;V;00000;N
28;079;8;14;28079008_14_6;2020;04;11;55.36;V;54.22;V;57.03;V;53.49;V;57.13;V;53.21;V;44.40;V;36.64;V;30.06;V;38.28;V;47.30;V;56.11;V;62.84;V;71.83;V;73.62;V;76.56;V;74.36;V;74.45;V;74.56;V;70.48;V;63.18;V;60.20;V;50.46;V;00000;N
28;079;8;20;28079008_20_59;2020;04;11;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.5;V;00000;N
28;079;8;30;28079008_30_59;2020;04;11;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;8;35;28079008_35_59;2020;04;11;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;8;42;28079008_42_2;2020;04;11;01.48;V;01.67;V;01.51;V;01.45;V;01.43;V;01.46;V;01.47;V;01.47;V;01.46;V;01.49;V;01.47;V;01.47;V;01.46;V;01.47;V;01.47;V;01.45;V;01.44;V;01.44;V;01.44;V;01.44;V;01.45;V;01.58;V;01.53;V;00000;N
28;079;8;43;28079008_43_2;2020;04;11;01.44;V;01.64;V;01.47;V;01.41;V;01.39;V;01.41;V;01.42;V;01.42;V;01.42;V;01.44;V;01.42;V;01.41;V;01.41;V;01.42;V;01.42;V;01.40;V;01.39;V;01.39;V;01.38;V;01.39;V;01.40;V;01.53;V;01.46;V;00000;N
28;079;8;44;28079008_44_2;2020;04;11;00.04;V;00.04;V;00.04;V;00.04;V;00.04;V;00.05;V;00.05;V;00.05;V;00.04;V;00.05;V;00.05;V;00.06;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.06;V;00.07;V;00000;N
28;079;11;7;28079011_7_8;2020;04;11;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;11;8;28079011_8_8;2020;04;11;00006;V;00005;V;00005;V;00005;V;00007;V;00009;V;00011;V;00009;V;00009;V;00011;V;00010;V;00008;V;00007;V;00006;V;00007;V;00006;V;00004;V;00004;V;00005;V;00004;V;00008;V;00011;V;00012;V;00000;N
28;079;11;12;28079011_12_8;2020;04;11;00007;V;00007;V;00007;V;00007;V;00009;V;00011;V;00013;V;00011;V;00011;V;00014;V;00013;V;00011;V;00009;V;00009;V;00008;V;00007;V;00006;V;00005;V;00006;V;00006;V;00010;V;00012;V;00014;V;00000;N
28;079;11;20;28079011_20_59;2020;04;11;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.4;V;000.4;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;000.1;V;000.1;V;000.3;V;000.1;V;000.2;V;000.2;V;00000;N
28;079;11;30;28079011_30_59;2020;04;11;000.2;V;000.3;V;000.4;V;000.2;V;000.6;V;000.4;V;000.2;V;000.2;V;000.8;V;001.4;V;000.2;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.3;V;000.7;V;001.1;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;11;35;28079011_35_59;2020;04;11;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
