PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;11;00006;V;00005;V;00005;V;00005;V;00006;V;00006;V;00005;V;00007;V;00006;V;00006;V;00006;V;00005;V;00005;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00000;N
28;079;4;6;28079004_6_48;2020;05;11;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;4;7;28079004_7_8;2020;05;11;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00003;V;00010;V;00003;V;00004;V;00006;V;00022;V;00004;V;00002;V;00013;V;00004;V;00005;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;05;11;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00006;V;00013;V;00012;V;00017;V;00010;V;00010;V;00013;V;00014;V;00009;V;00007;V;00020;V;00006;V;00008;V;00005;V;00005;V;00007;V;00005;V;00000;N
28;079;4;12;28079004_12_8;2020;05;11;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00007;V;00018;V;00017;V;00033;V;00014;V;00015;V;00023;V;00047;V;00015;V;00011;V;00039;V;00012;V;00015;V;00006;V;00006;V;00008;V;00006;V;00000;N
28;079;8;1;28079008_1_38;2020;05;11;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;11;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N
28;079;8;7;28079008_7_8;2020;05;11;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00006;V;00006;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;05;11;00009;V;00009;V;00009;V;00010;V;00010;V;00009;V;00011;V;00020;V;00030;V;00033;V;00028;V;00026;V;00023;V;00018;V;00019;V;00016;V;00014;V;00013;V;00015;V;00015;V;00014;V;00013;V;00012;V;00000;N
28;079;8;9;28079008_9_47;2020;05;11;00004;V;00001;V;00001;V;00001;V;00003;V;00018;V;00007;V;00013;V;00004;V;00014;V;00005;V;00004;V;00005;V;00004;V;00002;V;00004;V;00044;V;00010;V;00011;V;00005;V;00014;V;00009;V;00006;V;00000;N
