PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;18;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00001;N;00002;V;00004;V;00004;V;00004;V;00003;V;00002;V;00003;V;00003;V;00004;V;00000;N
28;079;4;6;28079004_6_48;2020;05;18;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;000.6;N;000.5;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;4;7;28079004_7_8;2020;05;18;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00534;N;00006;V;00006;V;00004;V;00006;V;00010;V;00006;V;00001;V;00001;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;05;18;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00034;N;00025;V;00023;V;00017;V;00018;V;00021;V;00017;V;00006;V;00011;V;00010;V;00000;N
28;079;4;12;28079004_12_8;2020;05;18;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00572;N;00035;V;00032;V;00023;V;00027;V;00037;V;00026;V;00008;V;00012;V;00011;V;00000;N
28;079;8;1;28079008_1_38;2020;05;18;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;18;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N
28;079;8;7;28079008_7_8;2020;05;18;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00006;V;00008;V;00004;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;05;18;00016;V;00016;V;00014;V;00017;V;00022;V;00020;V;00019;V;00032;V;00041;V;00046;V;00039;V;00032;V;00030;V;00030;V;00032;V;00029;V;00023;V;00019;V;00014;V;00012;V;00013;V;00016;V;00018;V;00000;N
28;079;8;9;28079008_9_47;2020;05;18;00007;V;00006;V;00003;V;00004;V;00004;V;00004;V;00005;V;00015;V;00015;V;00008;V;00010;V;00005;V;00003;V;00016;V;00003;V;00016;V;00002;V;00012;V;00023;V;00007;V;00010;V;00007;V;00001;V;00000;N
28;079;8;10;28079008_10_47;2020;05;18;00015;V;00012;V;00004;V;00005;V;00004;V;00009;V;00011;V;00017;V;00017;V;00017;V;00021;V;00013;V;00004;V;00017;V;00007;V;00026;V;00007;V;00014;V;00030;V;00010;V;00013;V;00013;V;00007;V;00000;N
28;079;8;12;28079008_12_8;2020;05;18;00018;V;00017;V;00016;V;00019;V;00024;V;00022;V;00020;V;00036;V;00050;V;00059;V;00045;V;00036;V;00033;V;00033;V;00035;V;00031;V;00024;V;00020;V;00015;V;00014;V;00015;V;00018;V;00019;V;00000;N
28;079;8;14;28079008_14_6;2020;05;18;69.02;V;63.57;V;67.55;V;56.12;V;39.54;V;48.14;V;48.30;V;31.60;V;28.56;V;35.07;V;57.45;V;74.30;V;81.88;V;86.47;V;96.55;V;110.0;V;115.4;V;113.4;V;109.9;V;104.1;V;91.67;V;81.72;V;74.33;V;00000;N
28;079;8;20;28079008_20_59;2020;05;18;001.0;V;001.1;V;000.8;V;001.0;V;000.9;V;001.3;V;001.4;V;001.7;V;001.3;V;001.3;V;001.6;V;002.3;V;002.8;V;001.8;V;002.2;V;002.3;V;001.9;V;001.5;V;001.3;V;002.2;V;001.5;V;004.7;V;005.6;V;00000;N
28;079;8;30;28079008_30_59;2020;05;18;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;00000;N
28;079;8;35;28079008_35_59;2020;05;18;000.9;V;000.9;V;000.7;V;000.7;V;000.6;V;000.6;V;000.6;V;000.6;V;000.6;V;000.7;V;002.0;V;002.0;V;001.5;V;001.3;V;001.2;V;001.1;V;001.4;V;001.7;V;002.1;V;001.7;V;001.5;V;001.3;V;001.2;V;00000;N
28;079;8;42;28079008_42_2;2020;05;18;01.43;V;01.46;V;01.43;V;01.43;V;01.43;V;01.43;V;01.42;V;01.42;V;01.42;V;01.48;V;01.51;V;01.47;V;01.45;V;01.45;V;01.45;V;01.45;V;01.46;V;01.47;V;01.46;V;01.46;V;01.44;V;01.45;V;01.45;V;00000;N
28;079;8;43;28079008_43_2;2020;05;18;01.32;V;01.32;V;01.32;V;01.32;V;01.32;V;01.32;V;01.32;V;01.31;V;01.31;V;01.33;V;01.33;V;01.32;V;01.31;V;01.31;V;01.30;V;01.30;V;01.29;V;01.29;V;01.29;V;01.29;V;01.29;V;01.29;V;01.30;V;00000;N
28;079;8;44;28079008_44_2;2020;05;18;00.12;V;00.14;V;00.12;V;00.11;V;00.11;V;00.11;V;00.10;V;00.11;V;00.11;V;00.15;V;00.18;V;00.15;V;00.14;V;00.14;V;00.15;V;00.15;V;00.17;V;00.19;V;00.17;V;00.17;V;00.15;V;00.15;V;00.15;V;00000;N
28;079;11;7;28079011_7_8;2020;05;18;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00006;V;00008;V;00008;V;00007;V;00011;V;00008;V;00006;V;00005;V;00006;V;00004;V;00004;V;00004;V;00002;V;00002;V;00001;V;00000;N
28;079;11;8;28079011_8_8;2020;05;18;00011;V;00008;V;00008;V;00008;V;00013;V;00009;V;00021;V;00041;V;00034;V;00031;V;00028;V;00025;V;00036;V;00031;V;00035;V;00031;V;00024;V;00020;V;00021;V;00021;V;00018;V;00018;V;00016;V;00000;N
28;079;11;12;28079011_12_8;2020;05;18;00012;V;00010;V;00009;V;00009;V;00014;V;00011;V;00022;V;00047;V;00043;V;00043;V;00040;V;00035;V;00053;V;00042;V;00045;V;00038;V;00033;V;00026;V;00027;V;00026;V;00022;V;00021;V;00018;V;00000;N
28;079;11;20;28079011_20_59;2020;05;18;000.4;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.7;V;000.5;V;000.6;V;001.5;V;001.1;V;001.6;V;001.4;V;000.8;V;000.3;V;000.9;V;000.4;V;000.4;V;000.4;V;000.3;V;00000;N
28;079;11;30;28079011_30_59;2020;05;18;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;11;35;28079011_35_59;2020;05;18;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;002.4;V;000.7;V;000.4;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;16;6;28079016_6_48;2020;05;18;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N
28;079;16;7;28079016_7_8;2020;05;18;00001;V;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00004;V;00003;V;00004;V;00003;V;00005;V;00004;V;00003;V;00005;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00000;N
